CHROMOSOME	START	END	STRAND	GENE_ID	GENE_NAME
1	11869	14409	+	ENSG00000223972.5_2	DDX11L1
1	14404	29570	-	ENSG00000227232.5_3	WASH7P
1	29554	31109	+	ENSG00000243485.5_6	MIR1302-2HG
1	34554	36081	-	ENSG00000237613.2_4	FAM138A
1	52473	53312	+	ENSG00000268020.3_4	OR4G4P
1	57598	64116	+	ENSG00000240361.2_3	OR4G11P
1	65419	71585	+	ENSG00000186092.6_4	OR4F5
1	89295	133723	-	ENSG00000238009.6_9	AL627309.1
1	89551	91105	-	ENSG00000239945.1_8	AL627309.3
1	131025	134836	+	ENSG00000233750.3_4	CICP27
1	135141	135895	-	ENSG00000268903.1_5	AL627309.6
1	137682	137965	-	ENSG00000269981.1_5	AL627309.7
1	139790	140339	-	ENSG00000239906.1_7	AL627309.2
1	141474	173862	-	ENSG00000241860.7_7	AL627309.5
1	160446	161525	+	ENSG00000241599.1_7	AL627309.4
1	236606	238406	+	ENSG00000286448.1_1	AP006222.2
1	521451	763176	-	ENSG00000230021.10_6	AL669831.3
1	523009	530148	+	ENSG00000235146.2_6	AC114498.1
1	564442	564813	+	ENSG00000225972.1_4	MTND1P23
1	565020	566063	+	ENSG00000225630.1_4	MTND2P28
1	566454	567996	+	ENSG00000237973.1_4	MTCO1P12
1	568137	568818	+	ENSG00000229344.1_4	MTCO2P12
1	568915	569121	+	ENSG00000240409.1_4	MTATP8P1
1	569076	569756	+	ENSG00000248527.1_4	MTATP6P1
1	569756	570302	+	ENSG00000198744.5_4	MTCO3P12
1	610222	610645	+	ENSG00000268663.1_4	WBP1LP6
1	621059	622053	-	ENSG00000284662.1_2	OR4F16
1	657472	660283	+	ENSG00000229376.3_4	CICP3
1	661265	714006	-	ENSG00000228327.3_7	AL669831.1
1	696291	697369	+	ENSG00000229905.1_6	AL669831.2
1	714127	745445	+	ENSG00000237491.10_9	LINC01409
1	717317	717430	+	ENSG00000285268.1_3	AL669831.6
1	736259	753092	-	ENSG00000230092.7_6	AL669831.4
1	752751	755217	+	ENSG00000177757.2_3	FAM87B
1	760518	794826	+	ENSG00000228794.10_7	LINC01128
1	761586	762902	-	ENSG00000225880.5_5	LINC00115
1	795606	803582	+	ENSG00000288531.1_1	AL669831.7
1	803451	812283	-	ENSG00000230368.2_4	FAM41C
1	808672	809729	+	ENSG00000234711.1_2	TUBB8P11
1	809909	812614	-	ENSG00000283040.1_7	AL669831.5
1	840214	851356	+	ENSG00000272438.1_7	AL645608.6
1	846815	850328	+	ENSG00000230699.2_7	AL645608.2
1	849551	850351	+	ENSG00000241180.1_7	AL645608.4
1	852245	856396	-	ENSG00000223764.2_7	LINC02593
1	859308	879961	+	ENSG00000187634.12_8	SAMD11
1	879583	894689	-	ENSG00000188976.11_4	NOC2L
1	895964	901099	+	ENSG00000187961.14_5	KLHL17
1	901862	911245	+	ENSG00000187583.11_4	PLEKHN1
1	910584	917473	-	ENSG00000187642.9_3	PERM1
1	931346	933431	-	ENSG00000272512.1_6	AL645608.7
1	934342	935552	-	ENSG00000188290.10_4	HES4
1	936518	949920	+	ENSG00000187608.10_7	ISG15
1	943456	943609	-	ENSG00000231702.2_5	AL645608.3
1	947377	948573	-	ENSG00000224969.1_7	AL645608.1
1	955500	991498	+	ENSG00000188157.15_5	AGRN
1	990413	991496	+	ENSG00000242590.1_7	AL645608.5
1	995088	1004735	+	ENSG00000217801.10_6	AL390719.1
1	997588	998668	-	ENSG00000273443.1_7	AL645608.8
1	1006347	1009686	-	ENSG00000237330.3_4	RNF223
1	1017198	1051741	-	ENSG00000131591.17_9	C1orf159
1	1032965	1039978	+	ENSG00000285812.1_2	AL390719.3
1	1072397	1079436	+	ENSG00000223823.1_5	LINC01342
1	1104737	1105723	+	ENSG00000272141.1_6	AL390719.2
1	1108436	1114935	-	ENSG00000205231.1_7	TTLL10-AS1
1	1109260	1133316	+	ENSG00000162571.14_6	TTLL10
1	1138888	1141972	-	ENSG00000186891.14_5	TNFRSF18
1	1146720	1149533	-	ENSG00000186827.11_4	TNFRSF4
1	1152288	1167447	-	ENSG00000078808.17_5	SDF4
1	1167617	1170421	+	ENSG00000176022.7_7	B3GALT6
1	1177826	1182102	-	ENSG00000184163.3_4	C1QTNF12
1	1185157	1186714	-	ENSG00000260179.1_6	AL162741.1
1	1189289	1209265	-	ENSG00000160087.20_7	UBE2J2
1	1210603	1215800	+	ENSG00000230415.1_5	LINC01786
1	1215816	1227409	+	ENSG00000162572.21_4	SCNN1D
1	1227770	1244989	-	ENSG00000131584.19_4	ACAP3
1	1243977	1247057	+	ENSG00000169972.12_3	PUSL1
1	1246965	1260071	-	ENSG00000127054.20_4	INTS11
1	1252961	1254069	-	ENSG00000240731.1_8	AL139287.1
1	1260136	1264276	+	ENSG00000224051.7_3	CPTP
1	1266660	1270694	+	ENSG00000169962.5_3	TAS1R3
1	1270656	1284798	-	ENSG00000107404.20_6	DVL1
1	1288069	1297157	-	ENSG00000162576.16_3	MXRA8
1	1309110	1310875	-	ENSG00000175756.13_3	AURKAIP1
1	1314046	1314412	+	ENSG00000223663.2_5	NDUFB4P8
1	1321091	1334715	-	ENSG00000221978.12_6	CCNL2
1	1334900	1337426	+	ENSG00000224870.7_7	MRPL20-AS1
1	1337289	1342673	-	ENSG00000242485.6_4	MRPL20
1	1344476	1345998	+	ENSG00000272455.1_7	AL391244.2
1	1353800	1357149	-	ENSG00000235098.8_4	ANKRD65
1	1355625	1358071	+	ENSG00000225905.1_7	AL391244.1
1	1361508	1363167	+	ENSG00000205116.3_2	TMEM88B
1	1365919	1369953	-	ENSG00000225285.1_6	LINC01770
1	1370241	1378262	+	ENSG00000179403.12_5	VWA1
1	1385069	1405543	+	ENSG00000215915.10_6	ATAD3C
1	1407145	1433228	+	ENSG00000160072.20_3	ATAD3B
